id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
259,Prądnik Biały,Kraków,1,653641.33,3,59.82,2021,10926.81,2020-01-01,
260,Łagiewniki-Borek Fałęcki,Kraków,0,361697.40,1,26.00,1960,13911.43,2020-01-01,
261,Podgórze,Kraków,3,958716.00,3,75.10,2002,12765.86,2020-01-01,
262,Nowa Huta,Kraków,2,1214739.66,3,76.37,2022,15905.98,2020-01-01,
263,Podgórze,Kraków,3,724847.40,1,37.20,1900,19485.15,2020-01-01,
264,Stare Miasto,Kraków,1,987768.00,3,68.06,1905,14513.19,2020-01-01,
265,Bronowice,Kraków,1,1848826.24,5,107.00,2021,17278.75,2020-01-01,
266,Nowa Huta,Kraków,4,878462.76,4,70.32,2022,12492.36,2020-01-01,
267,Bronowice,Kraków,1,668190.19,2,37.81,2021,17672.32,2020-01-01,
268,Podgórze Duchackie,Kraków,5,608639.40,2,44.25,2021,13754.57,2020-01-01,
269,Prądnik Biały,Kraków,4,698816.81,3,50.64,2021,13799.70,2020-01-01,
270,Bieżanów-Prokocim,Kraków,0,666743.40,4,53.10,1977,12556.38,2020-01-01,
271,Dębniki,Kraków,0,1191132.00,4,81.00,2010,14705.34,2020-01-01,
272,Podgórze,Kraków,3,677437.44,2,48.83,2022,13873.39,2020-01-01,
273,Swoszowice,Kraków,1,522936.00,1,33.27,2005,15717.95,2020-01-01,
274,Bronowice,Kraków,4,634786.20,3,53.00,1982,11977.09,2020-01-01,
275,Stare Miasto,Kraków,0,1452598.55,3,100.00,1918,14525.99,2020-01-01,
276,Grzegórzki,Kraków,3,1305887.40,3,75.45,2008,17307.99,2020-01-01,
277,Podgórze,Kraków,1,719037.00,2,51.50,2010,13961.88,2020-01-01,
278,Dębniki,Kraków,3,836436.13,3,63.98,2021,13073.40,2020-01-01,
279,Stare Miasto,Kraków,3,1961010.00,4,140.00,1900,14007.22,2020-01-01,
280,Podgórze,Kraków,6,948658.20,3,74.98,2021,12652.15,2020-01-01,
281,Podgórze,Kraków,3,795035.58,2,54.19,2021,14671.26,2020-01-01,
282,Łagiewniki-Borek Fałęcki,Kraków,0,361697.40,1,29.00,1950,12472.33,2020-01-01,
283,Krowodrza,Kraków,4,522936.00,2,34.00,2016,15380.48,2020-01-01,
284,Dębniki,Kraków,0,623165.40,2,39.04,2021,15962.23,2020-01-01,
285,Bieżanów-Prokocim,Kraków,1,957263.40,4,76.80,2014,12464.37,2020-01-01,
286,Stare Miasto,Kraków,4,1786698.00,5,158.00,1910,11308.22,2020-01-01,
287,Dębniki,Kraków,3,531651.60,2,40.50,2020,13127.20,2020-01-01,
288,Dębniki,Kraków,1,652217.40,2,43.90,2021,14856.89,2020-01-01,
289,Podgórze,Kraków,3,1087997.40,3,75.76,2021,14361.10,2020-01-01,
290,Mistrzejowice,Kraków,0,654454.40,2,50.06,2020,13073.40,2020-01-01,
291,Podgórze,Kraków,6,652217.40,3,48.00,1970,13587.87,2020-01-01,
292,Krowodrza,Kraków,0,301385.45,1,21.84,2020,13799.70,2020-01-01,
293,Nowa Huta,Kraków,7,849771.00,3,66.00,2009,12875.32,2020-01-01,
294,Nowa Huta,Kraków,3,515915.58,2,38.19,2021,13509.18,2020-01-01,
295,Nowa Huta,Kraków,4,1148498.19,3,70.28,2022,16341.75,2020-01-01,
296,Dębniki,Kraków,1,1009557.00,5,90.60,2022,11143.01,2020-01-01,
297,Bronowice,Kraków,3,748089.00,2,54.38,2001,13756.69,2020-01-01,
298,Stare Miasto,Kraków,3,594113.40,2,44.21,2021,13438.44,2020-01-01,
299,Podgórze,Kraków,2,782951.40,2,50.80,2021,15412.43,2020-01-01,
300,Mistrzejowice,Kraków,3,632636.35,2,48.18,2020,13130.69,2020-01-01,
301,Bronowice,Kraków,2,681269.40,2,46.21,2017,14742.90,2020-01-01,
302,Krowodrza,Kraków,1,798930.00,2,47.00,1980,16998.51,2020-01-01,
303,Stare Miasto,Kraków,2,586850.40,2,43.00,1930,13647.69,2020-01-01,
304,Nowa Huta,Kraków,1,637691.40,2,56.46,2021,11294.58,2020-01-01,
305,Zwierzyniec,Kraków,2,922401.00,3,63.59,2000,14505.45,2020-01-01,
306,Podgórze,Kraków,1,1016820.00,2,70.60,1936,14402.54,2020-01-01,
307,Nowa Huta,Kraków,4,506957.40,1,26.00,2020,19498.37,2020-01-01,
308,Nowa Huta,Kraków,3,595566.00,2,48.00,1950,12407.63,2020-01-01,
309,Nowa Huta,Kraków,1,520030.80,1,34.00,2015,15295.02,2020-01-01,
310,Krowodrza,Kraków,1,925618.51,2,55.41,2022,16704.90,2020-01-01,
311,Podgórze,Kraków,4,697248.00,2,53.50,2014,13032.67,2020-01-01,
312,Prądnik Biały,Kraków,10,479358.00,2,36.33,1982,13194.55,2020-01-01,
313,Nowa Huta,Kraków,3,825498.05,3,59.82,2022,13799.70,2020-01-01,
314,Podgórze,Kraków,1,870107.40,3,64.00,2007,13595.44,2020-01-01,
315,Prądnik Biały,Kraków,1,938077.46,3,67.27,2020,13944.96,2020-01-01,
316,Nowa Huta,Kraków,8,630428.40,3,44.00,1980,14327.92,2020-01-01,
317,Podgórze Duchackie,Kraków,3,704511.00,3,53.00,1970,13292.66,2020-01-01,
318,Mistrzejowice,Kraków,4,524461.23,2,41.50,2022,12637.62,2020-01-01,
319,Dębniki,Kraków,1,1031346.00,5,90.60,2022,11383.50,2020-01-01,
320,Nowa Huta,Kraków,2,384939.00,2,32.00,1960,12029.34,2020-01-01,
321,Prądnik Biały,Kraków,5,668345.62,2,44.60,2020,14985.33,2020-01-01,
