id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
37320,Grunwald,Poznań,4,1362000.00,3,91.39,2017,14903.00,2024-10-27,https://www.otodom.pl/pl/oferta/tc390548-ID4sQTi
37249,Nowa Huta,Kraków,5,545000.00,2,54.00,1960,10093.00,2024-10-27,https://www.otodom.pl/pl/oferta/2-pokoje-na-os-szkolnym-ID4ryAC
37250,Swoszowice,Kraków,3,519000.00,1,33.00,2005,15727.00,2024-10-27,https://www.otodom.pl/pl/oferta/krakow-kliny-ul-borkowska-ID4sNSu
37251,Dębniki,Kraków,3,799000.00,2,52.00,2008,15365.00,2024-10-27,https://www.otodom.pl/pl/oferta/dwa-pokoje-na-ruczaju-ID4rEXK
37252,Grzegórzki,Kraków,1,969500.00,2,37.60,2024,25785.00,2024-10-27,https://www.otodom.pl/pl/oferta/2pokojowe-na-grzegorzkach-ID4sWxT
37253,Żoliborz,Warszawa,2,1850000.00,3,84.20,1933,21971.00,2024-10-27,https://www.otodom.pl/pl/oferta/mieszkanie-przy-cytadeli-ID4t7im
37254,Ochota,Warszawa,4,1912900.00,5,107.78,1935,17748.00,2024-10-27,https://www.otodom.pl/pl/oferta/5-pokoi-ochota-filtry-ID4sFaX
37255,Włochy,Warszawa,2,750000.00,2,46.45,1935,16146.00,2024-10-27,https://www.otodom.pl/pl/oferta/mieszkanie-46-45-m-warszawa-ID4sExP
37256,Wola,Warszawa,2,1129000.00,2,47.40,1949,23819.00,2024-10-27,https://www.otodom.pl/pl/oferta/apartament-bliska-wola-ID4sIVq
37257,Żoliborz,Warszawa,4,680000.00,3,46.80,1970,14530.00,2024-10-27,https://www.otodom.pl/pl/oferta/mieszkanie-46-80-m-warszawa-ID4sNl0
37258,Żoliborz,Warszawa,1,725000.00,3,47.00,1970,15426.00,2024-10-27,https://www.otodom.pl/pl/oferta/przasnyska-ID4qOJi
37259,Targówek,Warszawa,7,660000.00,2,37.57,1970,17567.00,2024-10-27,https://www.otodom.pl/pl/oferta/85-15902-oms-ID4r8pz
37260,Śródmieście,Warszawa,2,1699900.00,4,53.00,1970,32074.00,2024-10-27,https://www.otodom.pl/pl/oferta/684-15902-oms-ID4r8hw
37261,Ochota,Warszawa,0,1086000.00,3,48.00,1970,22625.00,2024-10-27,https://www.otodom.pl/pl/oferta/676-15902-oms-ID4r8hn
37262,Wawer,Warszawa,3,699999.00,3,46.00,1971,15217.00,2024-10-27,https://www.otodom.pl/pl/oferta/las-skm-balkon-piwnica-ID4rAw7
37263,Włochy,Warszawa,0,820000.00,3,48.50,1974,16907.00,2024-10-27,https://www.otodom.pl/pl/oferta/po-remoncie-okazja-ID4sTiX
37264,Targówek,Warszawa,1,820000.00,3,53.30,1975,15385.00,2024-10-27,https://www.otodom.pl/pl/oferta/264-5433-oms-ID4sEyI
37265,Mokotów,Warszawa,10,730000.00,2,37.00,1980,19730.00,2024-10-27,https://www.otodom.pl/pl/oferta/sadyba-po-remoncie-2-pokoje-ID4qUf2
37266,Wzgórza Krzesławickie,Kraków,2,699000.00,3,57.17,1960,12227.00,2024-10-27,https://www.otodom.pl/pl/oferta/wzgorza-krzeslawickie-2-mieszkania-36m2-i-21m2-ID4sFpe
37267,Stare Miasto,Kraków,2,1400000.00,2,67.00,1960,20896.00,2024-10-27,https://www.otodom.pl/pl/oferta/67m2-krakow-kazimierz-na-sprzedaz-bez-posrednika-ID4tafM
37268,Ursynów,Warszawa,1,855000.00,1,31.57,1980,27083.00,2024-10-27,https://www.otodom.pl/pl/oferta/mieszkanie-31-57-m-warszawa-ID4rGRG
37269,Wola,Warszawa,5,1350000.00,3,85.00,1991,15882.00,2024-10-27,https://www.otodom.pl/pl/oferta/m4-m5-duzy-balkonobok-lasku-ID4r8hi
37270,Łagiewniki-Borek Fałęcki,Kraków,1,279000.00,1,21.00,1960,13286.00,2024-10-27,https://www.otodom.pl/pl/oferta/nowe-wyposazone-balkon-blisko-tramwaj-skm-ID4t1Aj
37271,Wzgórza Krzesławickie,Kraków,3,539999.00,2,33.78,1960,15986.00,2024-10-27,https://www.otodom.pl/pl/oferta/urocze-m2-na-wzgorzach-po-generalnym-remoncie-ID4ssSK
37272,Wola,Warszawa,2,1300000.00,3,71.00,1992,18310.00,2024-10-27,https://www.otodom.pl/pl/oferta/oferta-wazna-do-konca-roku-ID4t8dH
37273,Prądnik Czerwony,Kraków,2,670000.00,2,50.60,1960,13241.00,2024-10-27,https://www.otodom.pl/pl/oferta/al-jana-pawla-ii-ugorek-do-remontu-ID4taWN
37274,Bronowice,Kraków,1,650000.00,2,48.00,1960,13542.00,2024-10-27,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-osobna-kuchnia-i-balkonem-ID4t63J
37275,Grzegórzki,Kraków,3,649000.00,2,36.00,1960,18028.00,2024-10-27,https://www.otodom.pl/pl/oferta/krakow-grzegorzki-ul-na-szaniec-ID4sYyq
37276,Stare Miasto,Kraków,3,855000.00,2,50.00,1960,17100.00,2024-10-27,https://www.otodom.pl/pl/oferta/nowa-cena-ul-sereno-fenna-winda-balkon-ID4syLg
37277,Nowa Huta,Kraków,4,619500.00,2,49.56,1960,12500.00,2024-10-27,https://www.otodom.pl/pl/oferta/funkcjonalne-2-pok-z-balkonem-os-hutnicze-50m-ID4sTbX
37278,Bemowo,Warszawa,5,1980000.00,7,130.00,1996,15231.00,2024-10-27,https://www.otodom.pl/pl/oferta/mieszkanie-130-m-warszawa-ID4sqPR
37279,Ursynów,Warszawa,4,872000.00,2,55.00,2002,15855.00,2024-10-27,https://www.otodom.pl/pl/oferta/2-pokoje-na-ursynowie-ID4rlb8
37280,Wola,Warszawa,3,1290000.00,2,76.00,2007,16974.00,2024-10-27,https://www.otodom.pl/pl/oferta/piaskowa-6-ID4rbEv
