id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
57627,Wola,Warszawa,3,857750.00,2,36.50,1961,23500.00,2024-10-25,https://www.otodom.pl/pl/oferta/mieszkanie-36-5m-po-generalnym-remoncie-ID4t6Wq
57628,Wola,Warszawa,2,840000.00,3,48.50,1961,17320.00,2024-10-25,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-sprzedaz-48-5-m2-ID4sQa3
57629,Mokotów,Warszawa,6,649000.00,1,32.80,1961,19787.00,2024-10-25,https://www.otodom.pl/pl/oferta/kawalerka-32-8-m2-na-mokotowie-metro-ID4t4Iq
57630,Bemowo,Warszawa,8,920000.00,3,49.00,1961,18776.00,2024-10-25,https://www.otodom.pl/pl/oferta/3-pokoje-bemowo-swietna-lokalizacja-ID4t8ju
57631,Wola,Warszawa,0,740000.00,3,53.50,1961,13832.00,2024-10-25,https://www.otodom.pl/pl/oferta/3-pokoje-dwustronne-przy-metrze-i-parku-ID4sma0
57632,Praga-Południe,Warszawa,3,699000.00,3,59.00,1961,11847.00,2024-10-25,https://www.otodom.pl/pl/oferta/okazja-59-m2-dwustronne-z-balkonem-parking-ID4t8Ci
57633,Praga-Południe,Warszawa,3,699000.00,3,59.00,1961,11847.00,2024-10-25,https://www.otodom.pl/pl/oferta/59-m2-dwustronne-z-balkonem-parking-ID4t8Ch
57634,Praga-Południe,Warszawa,6,642300.00,1,26.22,1961,24497.00,2024-10-25,https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-na-saskiej-kepie-ID4t8yn
57635,Śródmieście,Warszawa,2,1800000.00,3,77.20,1961,23316.00,2024-10-25,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-przy-polnej-m1-politechnika-ID4t7Gh
57636,Śródmieście,Warszawa,3,670000.00,1,27.88,1961,24032.00,2024-10-25,https://www.otodom.pl/pl/oferta/urocza-kawalerka-w-srodmiesciu-od-zaraz-ID4t7Dm
57637,Śródmieście,Warszawa,2,699000.00,1,33.92,1961,20607.00,2024-10-25,https://www.otodom.pl/pl/oferta/pl-bankowy-super-lokalizacja-bezposrednio-ID4smvV
57638,Wola,Warszawa,1,777000.00,3,48.00,1961,16188.00,2024-10-25,https://www.otodom.pl/pl/oferta/odswiezone-trzypokojowe-mieszkanie-na-woli-ID4sR8o
57639,Śródmieście,Warszawa,1,1200000.00,3,58.80,1961,20408.00,2024-10-25,https://www.otodom.pl/pl/oferta/scisle-centrum-najladniejsza-czesc-ul-wilczej-ID4t0F7
57640,Śródmieście,Warszawa,1,939000.00,2,36.75,1961,25551.00,2024-10-25,https://www.otodom.pl/pl/oferta/2-pokoje-do-wprowadzenia-plac-bankowy-metro-ID4sPSs
