id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
29570,Jeżyce,Poznań,1,379000.00,1,25.40,1975,14921.00,2024-07-07,https://www.otodom.pl/pl/oferta/kawalerka-w-sercu-jezyc-idealna-dla-studenta-ID4rhfl
29572,Nowe Miasto,Poznań,0,550000.00,3,53.30,1975,10319.00,2024-07-07,https://www.otodom.pl/pl/oferta/3-pokoje-wysoki-parter-balkon-os-lecha-ID4rgAw
29640,Grunwald,Poznań,7,465000.00,2,49.50,1980,9394.00,2024-07-07,https://www.otodom.pl/pl/oferta/mieszkanie-przy-ul-jugoslowianskiej-2-pokoje-ID4r5Dz
30097,Grunwald,Poznań,1,1320000.00,3,76.20,2013,17323.00,2024-07-07,https://www.otodom.pl/pl/oferta/grunwald-apartament-mieszkanie-3-4-pokoje-balkon-ID4rlDL
30341,Jeżyce,Poznań,4,1440000.00,3,64.60,2021,22291.00,2024-07-07,https://www.otodom.pl/pl/oferta/unikatowy-apartament-w-centrum-jezyc-ID4qroA
30605,Nowe Miasto,Poznań,5,1040000.00,4,73.13,2023,14221.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-wykonczone-73-m2-zelazna-1-2x-parking-ID4r5av
30620,Grunwald,Poznań,1,769317.15,3,61.57,2023,12495.00,2024-07-07,https://www.otodom.pl/pl/oferta/bezposrednio-grunwald-nowe-3-pokoje-m-postojowe-ID4r2kv
30926,Stare Miasto,Poznań,2,478052.00,2,43.69,2024,10942.00,2024-07-07,https://www.otodom.pl/pl/oferta/2-pok-44m2-balkon-szybki-odbior-ID4qYsu
31099,Grunwald,Poznań,3,841510.37,4,69.79,2024,12058.00,2024-07-07,https://www.otodom.pl/pl/oferta/komfortowe-m4-z-dwoma-balkonami-ID4qXxt
31100,Grunwald,Poznań,1,757367.46,4,59.98,2024,12627.00,2024-07-07,https://www.otodom.pl/pl/oferta/ustawne-m4-do-wlasnej-aranzacji-2-balkony-ID4qXxs
31120,Grunwald,Poznań,1,831799.09,4,69.79,2024,11919.00,2024-07-07,https://www.otodom.pl/pl/oferta/piekne-m4-do-wlasnej-aranzacji-2-balkony-ID4qSyr
31123,Grunwald,Poznań,4,724073.35,3,52.91,2024,13685.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowy-apartament-na-lazarzu-3-pokoje-cicha-ulica-ID4qSyi
31178,Grunwald,Poznań,1,831799.09,4,69.79,2024,11919.00,2024-07-07,https://www.otodom.pl/pl/oferta/4-pokoje-obok-parku-wilsona-2-balkony-0-prow-ID4qvaM
31179,Grunwald,Poznań,1,757367.46,4,59.98,2024,12627.00,2024-07-07,https://www.otodom.pl/pl/oferta/4-pokoje-obok-parku-wilsona-2-balkony-0-prow-ID4qvau
31261,Nowe Miasto,Poznań,5,536863.60,3,50.96,2024,10535.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-okazja-50-96-m2-rataje-ID4pk7j
31266,Nowe Miasto,Poznań,5,672662.33,4,64.91,2024,10363.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-4-pokoje-promocja-64-91-m2-rataje-ID4piUN
31267,Nowe Miasto,Poznań,1,532481.04,3,50.96,2024,10449.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-okazja-50-96-m2-rataje-ID4piUM
31268,Nowe Miasto,Poznań,6,432582.15,2,36.85,2024,11739.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-promocja-36-85-m2-rataje-ID4piUI
31277,Nowe Miasto,Poznań,6,484063.04,2,44.32,2024,10922.00,2024-07-07,https://www.otodom.pl/pl/oferta/przestronne-2-pokoje-44-32-m2-balkon-rataje-ID4p69G
31278,Nowe Miasto,Poznań,0,482528.80,2,43.16,2024,11180.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-z-ogrodkiem-43-16-m2-rataje-ID4p62H
31285,Nowe Miasto,Poznań,4,577220.82,3,55.47,2024,10406.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-ustawne-3-pokoje-55-47-m2-balkon-rataje-ID4p2Iu
31291,Nowe Miasto,Poznań,3,568687.90,3,54.65,2024,10406.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-dwustronne-54-65-m2-rataje-ID4p1vI
31292,Nowe Miasto,Poznań,4,433375.07,2,37.19,2024,11653.00,2024-07-07,https://www.otodom.pl/pl/oferta/ustawne-2-pokoje-z-balkonem-37-19-m2-rataje-ID4p1vF
31295,Nowe Miasto,Poznań,5,540311.34,3,49.47,2024,10922.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-okazja-49-47-m2-rataje-ID4oY22
31302,Nowe Miasto,Poznań,1,538565.11,3,51.97,2024,10363.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-hit-cenowy-51-97-m2-rataje-ID4oOb0
31303,Nowe Miasto,Poznań,2,626423.14,4,61.21,2024,10234.00,2024-07-07,https://www.otodom.pl/pl/oferta/nowe-4-pokoje-promocja-61-21-m2-rataje-ID4oOb2
31913,Nowa Huta,Kraków,2,630000.00,2,50.21,1957,12547.00,2024-07-07,https://www.otodom.pl/pl/oferta/2-niezalezne-pokoje-balkon-ii-pietro-ID4r9Sq
32339,Grzegórzki,Kraków,1,835000.00,2,48.50,1970,17216.00,2024-07-07,https://www.otodom.pl/pl/oferta/mieszkanie-grzegorzki-ID4r9R9
32744,Prądnik Czerwony,Kraków,4,760000.00,3,51.76,1980,14683.00,2024-07-07,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-51-76m2-3-pokoje-pradnik-ID4qXnY
32867,Mistrzejowice,Kraków,10,699000.00,3,52.00,1985,13442.00,2024-07-07,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-52-m2-loggia-piastow-eng-ID4r9YM
33115,Podgórze,Kraków,1,1100000.00,4,69.53,2000,15821.00,2024-07-07,https://www.otodom.pl/pl/oferta/plaszow-ok-zalew-bagry-4-pokoje-2-balkony-ID4rmkY
33118,Bronowice,Kraków,1,599000.00,1,35.00,2000,17114.00,2024-07-07,https://www.otodom.pl/pl/oferta/rydla-krakow-bronowice-35-m2-mozliwe-2-pokoje-ID4qRHi
33317,Swoszowice,Kraków,1,719899.96,3,60.20,2004,11958.00,2024-07-07,https://www.otodom.pl/pl/oferta/3-pokoje-do-wejscia-duzy-salon-sprawdz-teraz-ID4pXZr
33346,Prądnik Biały,Kraków,7,810000.00,3,57.12,2005,14181.00,2024-07-07,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-przy-ul-m-reja-zabiniec-ID4r1PG
34143,Stare Miasto,Kraków,1,1790000.00,4,78.00,2016,22949.00,2024-07-07,https://www.otodom.pl/pl/oferta/stare-miasto-rakowicka-2x39m2-eng-ua-ID4qjKX
29078,Wilda,Poznań,1,699000.00,3,51.92,1900,13463.00,2024-07-07,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-3-mikro-kawalerki-ID4oanU
47075,Stare Miasto,Poznań,1,839000.00,3,70.00,1903,11986.00,2024-07-07,https://www.otodom.pl/pl/oferta/mieszkanie-chwaliszewo-poznan-70m2-ID4rp9K
29141,Jeżyce,Poznań,2,596030.40,2,52.56,1906,11340.00,2024-07-07,https://www.otodom.pl/pl/oferta/mieszkanie-w-rewitalizowanej-kamienicy-na-jezycach-ID4r98k
47076,Wilda,Poznań,0,335000.00,1,44.00,1920,7614.00,2024-07-07,https://www.otodom.pl/pl/oferta/mieszkanie-do-remontu-na-wildzie-ID4rq1k
47077,Nowe Miasto,Poznań,1,565000.00,2,59.00,1930,9576.00,2024-07-07,https://www.otodom.pl/pl/oferta/dwupokojowe-oddzielna-kuchnia-miejsce-postojowe-ID4rqkY
47078,Nowe Miasto,Poznań,1,420000.00,1,37.00,1930,11351.00,2024-07-07,https://www.otodom.pl/pl/oferta/po-remoncie-mieszkanie-z-oddzielna-kuchnia-ID4rqkV
47079,Jeżyce,Poznań,2,759000.00,3,95.00,1930,7989.00,2024-07-07,https://www.otodom.pl/pl/oferta/mieszkanie-przy-mtp-ID4qT6R
