id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
42857,Mokotów,Warszawa,2,1925000.00,2,71.00,2008,27113.00,2024-07-04,https://www.otodom.pl/pl/oferta/gotowy-do-wprowadzenia-apartament-z-basenem-ID4r2lR
29038,Grunwald,Poznań,3,459000.00,2,43.39,1900,10578.00,2024-07-04,https://www.otodom.pl/pl/oferta/m-z-pieknym-wykuszem-sufit-3-7m-ID4roFy
29039,Grunwald,Poznań,2,459000.00,2,43.38,1900,10581.00,2024-07-04,https://www.otodom.pl/pl/oferta/piekne-m-z-balkonem-duza-piwnica-ID4roFx
29040,Grunwald,Poznań,3,880000.00,3,91.88,1900,9578.00,2024-07-04,https://www.otodom.pl/pl/oferta/twoje-m-w-kamienicy-balkon-sufit-3-7-ID4roFv
29041,Grunwald,Poznań,3,880000.00,3,91.88,1900,9578.00,2024-07-04,https://www.otodom.pl/pl/oferta/3pak-uzyskuj-z-najmu-7000-na-mc-ID4roFu
29037,Grunwald,Poznań,1,499000.00,2,38.97,1900,12805.00,2024-07-04,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-w-kamienicy-mottego-taras-ID4ri1V
29036,Jeżyce,Poznań,1,1620000.00,5,102.00,1900,15882.00,2024-07-04,https://www.otodom.pl/pl/oferta/sprzedam-atrakcyjny-lokal-mieszkalny-na-biuro-ID4ro8E
29042,Stare Miasto,Poznań,1,629820.00,3,69.98,1900,9000.00,2024-07-04,https://www.otodom.pl/pl/oferta/m-na-chwaliszewie-z-balkonem-rewitalizowana-kami-ID4rn3J
29043,Grunwald,Poznań,3,1100000.00,10,133.70,1900,8227.00,2024-07-04,https://www.otodom.pl/pl/oferta/okazja-duza-inwestycja-blisko-mtp-pkp-sniadeckich-ID4r1cE
29044,Stare Miasto,Poznań,3,1502000.00,6,167.00,1900,8994.00,2024-07-04,https://www.otodom.pl/pl/oferta/ul-mlynska-3-6-niezaleznych-pokoi-wolne-od-vii-ID4m5g7
29045,Stare Miasto,Poznań,2,799000.00,2,63.00,1900,12683.00,2024-07-04,https://www.otodom.pl/pl/oferta/rybaki-63-m-kw-w-kamienicy-na-skwerze-smolenia-ID4r4GY
29046,Nowe Miasto,Poznań,2,643000.00,3,66.00,1900,9742.00,2024-07-04,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-na-srodce-niski-czynsz-adm-ID4rhvw
29047,Jeżyce,Poznań,4,529000.00,2,47.70,1900,11090.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pokojowe-jezyce-47-7m2-gotowe-do-wprowadzenia-ID4rgdH
29048,Stare Miasto,Poznań,1,300000.00,1,23.70,1900,12658.00,2024-07-04,https://www.otodom.pl/pl/oferta/kawalerka-23-70-mkw-stare-miasto-ID4rg3P
29049,Stare Miasto,Poznań,1,545000.00,1,43.10,1900,12645.00,2024-07-04,https://www.otodom.pl/pl/oferta/kawalerka-43-10-mkw-stare-miasto-ID4rfZO
29050,Stare Miasto,Poznań,1,855000.00,2,58.10,1900,14716.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pok-stare-miasto-rybaki-ID4rfUv
29051,Stare Miasto,Poznań,0,750000.00,2,59.20,1900,12669.00,2024-07-04,https://www.otodom.pl/pl/oferta/niezwykle-2-pokojowe-mieszkanie-na-starym-miescie-ID4rcXz
29052,Stare Miasto,Poznań,0,380000.00,2,27.45,1900,13843.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pokoje-w-pieknej-kamienicy-w-scislym-centrum-ID4q1bS
29053,Stare Miasto,Poznań,3,490000.00,1,32.12,1900,15255.00,2024-07-04,https://www.otodom.pl/pl/oferta/klimatyczna-kawalerka-w-sercu-poznania-ID4r4Bd
29054,Stare Miasto,Poznań,1,699800.00,3,69.98,1900,10000.00,2024-07-04,https://www.otodom.pl/pl/oferta/stan-deweloperski-w-rewitalizowanej-kamienicy-ID4r7Qe
29055,Stare Miasto,Poznań,2,850000.00,4,88.76,1900,9576.00,2024-07-04,https://www.otodom.pl/pl/oferta/duze-mieszkanie-stan-deweloperski-centrum-ID4r7GA
