id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
67133,Wilda,Poznań,5,379000.00,1,75.52,1905,5019.00,2025-01-13,https://www.otodom.pl/pl/oferta/klimatyczne-poddasze-na-wildzie-ID4pKyd
67224,Wilda,Poznań,0,415000.00,2,37.00,1920,11216.00,2025-01-13,https://www.otodom.pl/pl/oferta/przytulne-2-pokoje-na-wildzie-ID4tUgO
67981,Nowe Miasto,Poznań,1,660000.00,3,63.00,1995,10476.00,2025-01-13,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-ID4s7IJ
68207,Stare Miasto,Poznań,0,1495575.00,5,144.50,2008,10350.00,2025-01-13,https://www.otodom.pl/pl/oferta/mieszkalno-biurowy-ID4mCBQ
68253,Wilda,Poznań,5,695000.00,4,63.50,2010,10945.00,2025-01-13,https://www.otodom.pl/pl/oferta/4-pokoje-na-ul-saperskiej-garaz-ID4tprQ
68875,Stare Miasto,Kraków,1,870000.00,2,44.78,1912,19428.00,2025-01-13,https://www.otodom.pl/pl/oferta/nowa-inwestycja-ID4txrB
68876,Stare Miasto,Kraków,3,883000.00,2,45.91,1912,19233.00,2025-01-13,https://www.otodom.pl/pl/oferta/nowa-inwestycja-ID4txD0
68877,Stare Miasto,Kraków,4,1029000.00,2,50.26,1912,20474.00,2025-01-13,https://www.otodom.pl/pl/oferta/nowa-inwestycja-ID4txD1
69368,Nowa Huta,Kraków,1,530000.00,2,32.38,1955,16368.00,2025-01-13,https://www.otodom.pl/pl/oferta/nowa-huta-2-pokoje-piwnica-ID.4tNLy
67000,Grunwald,Poznań,1,450000.00,2,38.97,1900,11547.00,2025-01-13,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-w-kamienicy-mottego-taras-ID4u4NP
67001,Stare Miasto,Poznań,4,1299000.00,6,144.00,1900,9021.00,2025-01-13,https://www.otodom.pl/pl/oferta/mieszkanie-do-remontu-ul-mielzynskiego-144m2-ID4u8j9
67002,Stare Miasto,Poznań,2,1200000.00,2,79.60,1900,15075.00,2025-01-13,https://www.otodom.pl/pl/oferta/mieszkanie-wysoki-standard-podgorna-2-pokoje-ID4u7LB
67003,Wilda,Poznań,0,600000.00,2,50.00,1900,12000.00,2025-01-13,https://www.otodom.pl/pl/oferta/2-pok-do-wprowadenia-zrewitalizowana-kamienica-ID4tPlB
67004,Grunwald,Poznań,0,299000.00,2,37.40,1900,7995.00,2025-01-13,https://www.otodom.pl/pl/oferta/ul-strusia-bez-prowizji-niski-czynsz-pod-wynajem-ID4tzv9
